YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2018,,2018-12-27,Spain,3.0,2.0,La Gomera (GCGM)
2016,OCT,2016-10-21,Poland,21.0,22.0,Warszawa - Modlin (EPMO)
2019,DEC,2019-12-08,Bulgaria,77.0,74.0,Sofia (LBSF)
2016,JAN,2016-01-04,Sweden,42.0,42.0,Stockholm - Bromma (ESSB)
2019,OCT,2019-10-22,Italy,30.0,29.0,Brindisi (LIBR)
2016,MAY,2016-05-07,Spain,10.0,9.0,Almeria (LEAM)
2019,FEB,2019-02-05,Portugal,1.0,1.0,Flores (LPFL)
2022,,2022-01-09,Belgium,,10.0,Antwerp (EBAW)
2021,,2021-11-21,France,2.0,1.0,Poitiers-Biard (LFBI)
2020,AUG,2020-08-18,Poland,4.0,4.0,Lodz - Lublinek (EPLL)
2019,SEP,2019-09-15,France,20.0,20.0,Biarritz-Bayonne-Anglet (LFBZ)
2019,MAR,2019-03-24,France,4.0,3.0,Brive-Souillac (LFSL)
2020,APR,2020-04-28,Norway,,45.0,Tromsø (ENTC)
2019,NOV,2019-11-07,Germany,12.0,16.0,Erfurt (EDDE)
2017,AUG,2017-08-14,France,6.0,7.0,Béziers-Vias (LFMU)
2019,MAY,2019-05-12,Spain,0.0,1.0,Logrono (LERJ)
2018,AUG,2018-08-19,Norway,70.0,74.0,Trondheim (ENVA)
2020,JUN,2020-06-28,United Kingdom,2.0,1.0,Londonderry - Eglinton (EGAE)
2016,OCT,2016-10-14,Norway,367.0,382.0,Oslo - Gardermoen (ENGM)
2019,,2019-02-21,Spain,11.0,12.0,San Sebastian (LESO)
2021,FEB,2021-02-28,Sweden,10.0,12.0,Stockholm - Bromma (ESSB)
2018,DEC,2018-12-21,Italy,426.0,,Rome - Fiumicino (LIRF)
2020,MAY,2020-05-18,France,1.0,,Saint-Etienne-Bouthéon (LFMH)
2021,NOV,2021-11-20,Türkiye,287.0,291.0,Istanbul Sabiha Gökçen (LTFJ)
2021,JAN,2021-01-29,Italy,18.0,19.0,Venice (LIPZ)
