YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2018,MAR,2018-03-10,Poland,5,5,Szczecin - Goleniów (EPSC)
2017,FEB,2017-02-04,Germany,140,137,Hamburg (EDDH)
2017,JUN,2017-06-17,Poland,64,63,Krakow - Balice (EPKK)
2019,APR,2019-04-13,United Kingdom,55,55,Belfast - Aldergrove (EGAA)
2021,AUG,2021-08-20,Ireland,196,198,Dublin (EIDW)
2017,DEC,2017-12-28,Türkiye,291,291,Istanbul Sabiha Gökçen (LTFJ)
2016,FEB,2016-02-14,Spain,61,59,Valencia (LEVC)
2019,MAY,2019-05-13,Poland,288,282,Warszawa - Chopina (EPWA)
2016,SEP,2016-09-17,Ireland,37,36,Cork (EICK)
2016,SEP,2016-09-04,Poland,3,3,Lublin (EPLB)
2018,DEC,2018-12-27,Spain,3,2,La Gomera (GCGM)
2016,OCT,2016-10-21,Poland,21,22,Warszawa - Modlin (EPMO)
2019,DEC,2019-12-08,Bulgaria,77,74,Sofia (LBSF)
2016,JAN,2016-01-04,Sweden,42,42,Stockholm - Bromma (ESSB)
2019,OCT,2019-10-22,Italy,30,29,Brindisi (LIBR)
2016,MAY,2016-05-07,Spain,10,9,Almeria (LEAM)
2019,FEB,2019-02-05,Portugal,1,1,Flores (LPFL)
2022,JAN,2022-01-09,Belgium,10,10,Antwerp (EBAW)
2021,NOV,2021-11-21,France,2,1,Poitiers-Biard (LFBI)
2020,AUG,2020-08-18,Poland,4,4,Lodz - Lublinek (EPLL)
2019,SEP,2019-09-15,France,20,20,Biarritz-Bayonne-Anglet (LFBZ)
2019,MAR,2019-03-24,France,4,3,Brive-Souillac (LFSL)
2020,APR,2020-04-28,Norway,44,45,Tromsø (ENTC)
2019,NOV,2019-11-07,Germany,12,16,Erfurt (EDDE)
2017,AUG,2017-08-14,France,6,7,Béziers-Vias (LFMU)
2019,MAY,2019-05-12,Spain,0,1,Logrono (LERJ)
2018,AUG,2018-08-19,Norway,70,74,Trondheim (ENVA)
2020,JUN,2020-06-28,United Kingdom,2,1,Londonderry - Eglinton (EGAE)
2016,OCT,2016-10-14,Norway,367,382,Oslo - Gardermoen (ENGM)
2019,FEB,2019-02-21,Spain,11,12,San Sebastian (LESO)
2021,FEB,2021-02-28,Sweden,10,12,Stockholm - Bromma (ESSB)
2018,DEC,2018-12-21,Italy,426,430,Rome - Fiumicino (LIRF)
